handle,domain,eligible_for_bounty
inzpire,https://prizm.inzpire.com/,False
inzpire,https://www.inzpire.com,False
inzpire,https://prizmstaging.inzpire.com,False
inzpire,https://prizmapi.inzpire.com/,False
inzpire,https://prizmstagingapi.inzpire.com/,False
inzpire,https://prizmsupport.inzpire.com/,False
singlestore,authsvc.singlestore.com,False
singlestore,api.singlestore.com,False
singlestore,auth.singlestore.com,False
singlestore,singlestore.com,False
singlestore,backend.singlestore.com,False
singlestore,https://portal.singlestore.com/,False
singlestore,https://portal.singlestore.com/admin,False
singlestore,auth.singlestore.com,False
singlestore,api.singlestore.com,False
singlestore,backend.singlestore.com,False
singlestore,authsvc.singlestore.com,False
singlestore,singlestore.com,False
mpesa,mpa.ekyc.selfregister.m-pesa.com,True
mpesa,mpa.ekyc.backoffice.m-pesa.com,True
mpesa,openapi.m-pesa.com,True
mpesa,*.m-pesa.com,True
mpesa,openapiportal.m-pesa.com,True
mpesa,m-pesa.africa,True
mpesa,*.m-pesa.com,True
mpesa,mpa.ekyc.backoffice.m-pesa.com,True
mpesa,mpa.ekyc.selfregister.m-pesa.com,True
mpesa,openapiportal.m-pesa.com,True
mpesa,openapi.m-pesa.com,True
mpesa,m-pesa.africa,True
hpe_vdp,*cpqcorp.*,False
hpe_vdp,api-cip-sgw-dc01-vip.it.hpe.com,False
hpe_vdp,api-cip-sgw-dc01.it.hpe.com,False
hpe_vdp,api-cip-sgw.ext.hpe.com,False
hpe_vdp,api-cip-sgw.it.hpe.com,False
hpe_vdp,api-cip-sgw.wip.it.hpe.com,False
hpe_vdp,api-csc-itg-sgw.it.hpe.com,False
hpe_vdp,api-csc-stg-sgw.ext.hpe.com,False
hpe_vdp,api-csc-stg-sgw.it.hpe.com,False
hpe_vdp,api-ext-dr.it.hpe.com,False
hpe_vdp,api-ext-dr.support.hpe.com,False
hpe_vdp,api-ext-pro-gtm.wip.it.hpe.com,False
hpe_vdp,api-ext-pro-ltm-vip_dr.it.hpe.com,False
hpe_vdp,api-ext-pro.support.hpe.com,False
hpe_vdp,api-ext-pro.wip.it.hpe.com,False
hpe_vdp,api-ext.support.hpe.com,False
hpe_vdp,api-gateway.support.hpe.com,False
